ds_name,method,noise_type,noise_level,random_state,accuracy_final,accuracy_max,auroc,fpr,fpr_50,fpr_10
letters,entropy,asymmetric,0.1,45,0.92625,0.9272,0.7032096703031492,0.8631328525760167,0.8468710493046776,0.7936170212765957
letters,cross_val,asymmetric,0.1,45,0.92625,0.9272,0.9841894488185916,0.3551663747810858,0.11828935395814377,0.03
letters,normalized_margins,asymmetric,0.1,45,0.92625,0.9272,0.990346089190095,0.28588052754072923,0.03003003003003003,0.01020408163265306
letters,cleanlab,asymmetric,0.1,45,0.92625,0.9272,0.9682715103886521,0.9031,0.03003003003003003,0.01020408163265306
mushrooms,aum,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.9999984639541234,0.0,0.0,0.0
mushrooms,naive,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,1.0,0.0,0.0,0.0
mushrooms,positive,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.9999984639541234,0.0,0.0,0.0
mushrooms,entropy,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.6119023928181322,0.8935275987671617,0.863544474393531,0.8373983739837398
mushrooms,cross_val,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.9999996586564719,0.0,0.0,0.0
mushrooms,normalized_margins,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.9999996586564719,0.0,0.0,0.0
mushrooms,cleanlab,asymmetric,0.1,45,0.9993845396356474,0.9993845396356474,0.9962500000000001,0.0,0.0,0.0
satelite,aum,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9730280420492052,0.49485420240137223,0.1340782122905028,0.03125
satelite,naive,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9562068343827144,0.5115702479338843,0.2236842105263158,0.2236842105263158
satelite,positive,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9717471500291237,0.5067001675041876,0.1553133514986376,0.10144927536231885
satelite,entropy,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.7794502537930269,0.8215151515151515,0.8060075093867334,0.7089201877934272
satelite,cross_val,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9746822733198347,0.41393034825870645,0.20308483290488433,0.17333333333333334
satelite,normalized_margins,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9771023215821152,0.4026369168356998,0.14127423822714683,0.06060606060606061
satelite,cleanlab,asymmetric,0.1,45,0.8993006993006993,0.9000777000777,0.9485293872909328,0.9036519036519036,0.14127423822714683,0.06060606060606061
sensorless_drive,aum,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9992240156795439,0.015954617975536253,0.0020491803278688526,0.0
sensorless_drive,naive,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9975262794880898,0.01968019680196802,0.01920985864443639,0.01920985864443639
sensorless_drive,positive,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9990217050639647,0.01786978060863411,0.005784280367471929,0.011824324324324325
sensorless_drive,entropy,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.6735260414564883,0.8760273360728962,0.8400744348968311,0.8254252461951657
sensorless_drive,cross_val,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9989171349157008,0.018737846915326144,0.013171225937183385,0.03145695364238411
sensorless_drive,normalized_margins,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9995624455404426,0.010693281055070397,0.0020491803278688526,0.0
sensorless_drive,cleanlab,asymmetric,0.1,45,0.9925310635970535,0.9925310635970535,0.9896713422363521,0.008218688583169554,0.0020491803278688526,0.0
cardiotocography,aum,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9828855416726703,0.4738292011019284,0.0380952380952381,0.0
cardiotocography,naive,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9501090961487001,0.9049858889934148,0.1917808219178082,0.1917808219178082
cardiotocography,positive,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9821933986537946,0.4767123287671233,0.06481481481481481,0.045454545454545456
cardiotocography,entropy,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.6797217533603671,0.8816604708798017,0.839171974522293,0.8205128205128205
cardiotocography,cross_val,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9747792346802248,0.4463768115942029,0.15833333333333333,0.3
cardiotocography,normalized_margins,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9782167925732282,0.44314868804664725,0.07339449541284404,0.08695652173913043
cardiotocography,cleanlab,asymmetric,0.1,45,0.9336782690498588,0.9350893697083725,0.9068591630472818,0.9049858889934148,0.07339449541284404,0.08695652173913043
